,nome_ascii,id_turma
4880,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,57597051
4888,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,57597055
4891,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,57597057
4893,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,57597058
4898,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,57597062
4905,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES I,57597067
4906,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES I,57597068
4911,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES I,57597071
4914,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES I,57597074
4916,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES I,57597076
4941,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES I,57597094
4952,PRATICAS DE LEITURA EM INGLES,57597109
4953,PRATICAS DE LEITURA EM INGLES,57597110
4954,PRATICAS DE LEITURA EM INGLES,57597111
4955,PRATICAS DE LEITURA EM INGLES,57597112
4956,PRATICAS DE LEITURA EM INGLES,57597113
4959,TECNOLOGIA DA INFORMACAO E SOCIEDADE,57597117
4965,TECNOLOGIA DA INFORMACAO E SOCIEDADE,57597123
4968,TECNOLOGIA DA INFORMACAO E SOCIEDADE,57597125
4969,TECNOLOGIA DA INFORMACAO E SOCIEDADE,57597126
4971,TECNOLOGIA DA INFORMACAO E SOCIEDADE,57597128
5530,INTRODUCAO AS TECNICAS DE PROGRAMACAO,57597569
5533,INTRODUCAO AS TECNICAS DE PROGRAMACAO,57597571
5534,INTRODUCAO AS TECNICAS DE PROGRAMACAO,57597572
5535,INTRODUCAO AS TECNICAS DE PROGRAMACAO,57597573
5541,PRATICAS DE TECNICAS DE PROGRAMACAO,57597576
5542,PRATICAS DE TECNICAS DE PROGRAMACAO,57597577
5545,PRATICAS DE TECNICAS DE PROGRAMACAO,57597579
5546,PRATICAS DE TECNICAS DE PROGRAMACAO,57597580
5547,CALCULO DIFERENCIAL E INTEGRAL I,57597581
5548,CALCULO DIFERENCIAL E INTEGRAL I,57597582
5549,CALCULO DIFERENCIAL E INTEGRAL I,57597583
5550,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES II,57597584
