,id_turma,codigo,nome_ascii,docente_interno,docente_externo,nivel_ensino,ano,periodo,capacidade_aluno,local,data_inicio,data_fim,codigo_turma,descricao_horario,observacao,distancia,tipo,data_consolidacao,agrupadora,qtd_aulas_lancadas,situacao_turma,convenio,modalidade_participantes,campus_turma,Unnamed: 24
4880,57597051,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,5e7d1e765af746bb22d3eb10f26919b8,,GRADUAÇÃO,2017,1,83.0,B203 - CIVT,2017-02-13,2017-07-01,01,246M3456 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 12:27:45.88,f,209.0,CONSOLIDADA,,Presencial,Campus Central,
4881,57597051,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,bb54c6e6fdf98c62c5e3ecad295d6347,,GRADUAÇÃO,2017,1,83.0,B203 - CIVT,2017-02-13,2017-07-01,01,246M3456 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 12:27:45.88,f,209.0,CONSOLIDADA,,Presencial,Campus Central,
4888,57597055,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,5e7d1e765af746bb22d3eb10f26919b8,,GRADUAÇÃO,2017,1,81.0,B204 - CIVT,2017-02-13,2017-07-01,02,246M3456 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 20:15:57.185,f,220.0,CONSOLIDADA,,Presencial,Campus Central,
4889,57597055,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,8733dedf2a1fc8440eb8f8ca21aa4d06,,GRADUAÇÃO,2017,1,81.0,B204 - CIVT,2017-02-13,2017-07-01,02,246M3456 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 20:15:57.185,f,220.0,CONSOLIDADA,,Presencial,Campus Central,
4891,57597057,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,bb54c6e6fdf98c62c5e3ecad295d6347,,GRADUAÇÃO,2017,1,89.0,B204,2017-02-13,2017-07-01,03,246T1234 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 12:45:27.759,f,204.0,CONSOLIDADA,,Presencial,Campus Central,
4892,57597057,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,03f1770310d79029b880e4a18cada34c,,GRADUAÇÃO,2017,1,89.0,B204,2017-02-13,2017-07-01,03,246T1234 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 12:45:27.759,f,204.0,CONSOLIDADA,,Presencial,Campus Central,
4893,57597058,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,9a506bed0b6eb5afb3c4fd515862f023,,GRADUAÇÃO,2017,1,87.0,B203 - CIVT,2017-02-13,2017-07-01,04,246N1234 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 21:00:30.852,f,216.0,CONSOLIDADA,,Presencial,Campus Central,
4894,57597058,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,e9851b333deffb82f109245f0caf9806,,GRADUAÇÃO,2017,1,87.0,B203 - CIVT,2017-02-13,2017-07-01,04,246N1234 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 21:00:30.852,f,216.0,CONSOLIDADA,,Presencial,Campus Central,
4898,57597062,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,e9851b333deffb82f109245f0caf9806,,GRADUAÇÃO,2017,1,77.0,B204 - CIVT,2017-02-13,2017-07-01,05,246N1234 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 10:01:52.609,f,224.0,CONSOLIDADA,,Presencial,Campus Central,
4899,57597062,IMD0019,RESOLUCAO DE PROBLEMAS MATEMATICOS PARA TI,6040a6c8488f5274cd2898440646afc0,,GRADUAÇÃO,2017,1,77.0,B204 - CIVT,2017-02-13,2017-07-01,05,246N1234 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 10:01:52.609,f,224.0,CONSOLIDADA,,Presencial,Campus Central,
