;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
0;APROVADO;8d2a3b00a41279debf258bc6c6305205;0.0;92127264.0;1217954;5.6;6.2;4.0;f;1.0
1;APROVADO;8d2a3b00a41279debf258bc6c6305205;0.0;92127264.0;1217954;5.6;5.0;4.0;f;2.0
2;APROVADO;8d2a3b00a41279debf258bc6c6305205;0.0;92127264.0;1217954;5.6;2.0;4.0;t;3.0
3;APROVADO;7571ec1db03f11e42635430e58b95cee;0.0;92127264.0;1217954;7.0;7.3;4.0;f;1.0
4;APROVADO;7571ec1db03f11e42635430e58b95cee;0.0;92127264.0;1217954;7.0;8.2;4.0;f;2.0
5;APROVADO;7571ec1db03f11e42635430e58b95cee;0.0;92127264.0;1217954;7.0;5.5;4.0;f;3.0
6;APROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1217954;5.1;7.7;4.0;f;1.0
7;APROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1217954;5.1;4.6;4.0;f;2.0
8;APROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1217954;5.1;1.5;4.0;t;3.0
9;APROVADO;75ceafca049fd070170231fee1413d58;0.0;92127264.0;1217954;5.2;4.2;4.0;f;1.0
10;APROVADO;75ceafca049fd070170231fee1413d58;0.0;92127264.0;1217954;5.2;7.0;4.0;f;2.0
11;APROVADO;75ceafca049fd070170231fee1413d58;0.0;92127264.0;1217954;5.2;2.0;4.0;t;3.0
12;APROVADO;cb75f724561edc0a0a2be38dfe95322c;0.0;92127264.0;1217954;7.1;4.6;4.0;f;1.0
13;APROVADO;cb75f724561edc0a0a2be38dfe95322c;0.0;92127264.0;1217954;7.1;9.1;4.0;f;2.0
14;APROVADO;cb75f724561edc0a0a2be38dfe95322c;0.0;92127264.0;1217954;7.1;2.5;4.0;t;3.0
15;APROVADO;bc2bc7b8d6d7550aeaf952fd146e716e;0.0;92127264.0;1217954;6.0;6.9;4.0;f;1.0
16;APROVADO;bc2bc7b8d6d7550aeaf952fd146e716e;0.0;92127264.0;1217954;6.0;6.5;4.0;f;2.0
17;APROVADO;bc2bc7b8d6d7550aeaf952fd146e716e;0.0;92127264.0;1217954;6.0;2.0;4.0;t;3.0
18;REPROVADO;49f2cf9cba9f712bc1ffeddd47b8907f;0.0;92127264.0;1217954;2.1;4.3;6.0;f;1.0
19;REPROVADO;49f2cf9cba9f712bc1ffeddd47b8907f;0.0;92127264.0;1217954;2.1;2.0;6.0;f;2.0
20;REPROVADO;49f2cf9cba9f712bc1ffeddd47b8907f;0.0;92127264.0;1217954;2.1;0.0;6.0;f;3.0
21;CANCELADO;cbe40ea1cb2d08a912937532829ea391;0.0;92127264.0;1217954;2.8;6.0;2.0;f;1.0
22;CANCELADO;cbe40ea1cb2d08a912937532829ea391;0.0;92127264.0;1217954;2.8;2.2;2.0;f;2.0
23;CANCELADO;cbe40ea1cb2d08a912937532829ea391;0.0;92127264.0;1217954;2.8;0.3;2.0;f;3.0
24;APROVADO;7050afe9becfa1f885ad4ced2bf09c2e;0.0;2000013.0;1217954;8.8;7.5;4.0;f;3.0
25;APROVADO;7050afe9becfa1f885ad4ced2bf09c2e;0.0;2000013.0;1217954;8.8;9.0;4.0;f;1.0
26;APROVADO;7050afe9becfa1f885ad4ced2bf09c2e;0.0;2000013.0;1217954;8.8;10.0;4.0;f;2.0
27;CANCELADO;3030fd18b35ab8914c06364d99a300b8;;17848940.0;1217954;;;;;
28;APROVADO;e6710381d0f7c28d221ffe4471686649;0.0;92127264.0;1217954;5.1;5.4;2.0;f;1.0
29;APROVADO;e6710381d0f7c28d221ffe4471686649;0.0;92127264.0;1217954;5.1;6.9;2.0;f;2.0
30;APROVADO;e6710381d0f7c28d221ffe4471686649;0.0;92127264.0;1217954;5.1;2.0;2.0;t;3.0
31;APROVADO POR NOTA;2297eebcbf4008c925c4056c12bb3b27;0.0;92127264.0;1217954;5.6;5.7;2.0;f;1.0
32;APROVADO POR NOTA;2297eebcbf4008c925c4056c12bb3b27;0.0;92127264.0;1217954;5.6;7.1;2.0;f;2.0
33;APROVADO POR NOTA;2297eebcbf4008c925c4056c12bb3b27;0.0;92127264.0;1217954;5.6;4.0;2.0;f;3.0
34;APROVADO;7198f6d43d0f90dcc6745355e77e6f1e;0.0;17848940.0;1217954;5.5;5.4;2.0;f;1.0
35;APROVADO;7198f6d43d0f90dcc6745355e77e6f1e;0.0;17848940.0;1217954;5.5;6.1;2.0;f;2.0
36;APROVADO;7198f6d43d0f90dcc6745355e77e6f1e;0.0;17848940.0;1217954;5.5;2.0;2.0;t;3.0
37;APROVADO POR NOTA;2dc7771e870b008c111aa85ad59f1f66;0.0;92127264.0;1217954;6.2;6.9;4.0;f;1.0
38;APROVADO POR NOTA;2dc7771e870b008c111aa85ad59f1f66;0.0;92127264.0;1217954;6.2;7.9;4.0;f;2.0
